epoch,d_loss,g_loss_total,g_adv_raw,surrogate_cm_raw,surrogate_cl_raw,surrogate_raw,g_adv_weighted,surrogate_weighted,real_score,fake_score,grad_norm,w_adv,w_surrogate
14,-0.1548356496470069,0.2950172604936542,0.2950172604936542,0.0,0.0,0.0,0.2950172604936542,0.0,-0.11952040470095977,-0.2784613026877603,1.007520324142401,1.0,0.0
15,-0.15413347894211538,0.319036041406584,0.319036041406584,0.0,0.0,0.0,0.319036041406584,0.0,-0.142008841071372,-0.3003969659336207,1.0074734468322368,1.0,0.0
16,-0.15369432838600033,0.39290200870532493,0.39290200870532493,0.0,0.0,0.0,0.39290200870532493,0.0,-0.21775875994229574,-0.3756878484349819,1.007444224202676,1.0,0.0
17,-0.15339306191094085,0.391521868638662,0.391521868638662,0.0,0.0,0.0,0.391521868638662,0.0,-0.21839827200673548,-0.3760802817796542,1.0074033581823219,1.0,0.0
18,-0.15291395265380398,0.4322209980709728,0.4322209980709728,0.0,0.0,0.0,0.4322209980709728,0.0,-0.2589759639292848,-0.4161477246654593,1.0073884651118667,1.0,0.0
19,-0.1527196641110341,0.4726654654328441,0.4726654654328441,0.0,0.0,0.0,0.4726654654328441,0.0,-0.30079928062022376,-0.45784262668354847,1.007336509399896,1.0,0.0
20,-0.15251807407459197,0.5001578065869096,0.5001578065869096,0.0,0.0,0.0,0.5001578065869096,0.0,-0.330283375272682,-0.4871275975816086,1.0073405667332536,1.0,0.0
21,-0.1523076573164885,0.5329927733708254,0.5329927733708254,0.0,0.0,0.0,0.5329927733708254,0.0,-0.362421332531027,-0.519148649958497,1.007333814753522,1.0,0.0
22,-0.15212835726002064,0.5169036818015111,0.5169036818015111,0.0,0.0,0.0,0.5169036818015111,0.0,-0.3470155060829238,-0.5035756615309939,1.0073127789187517,1.0,0.0
23,-0.15216564761494902,0.5143381290750586,0.5143381290750586,0.0,0.0,0.0,0.5143381290750586,0.0,-0.3456155547919256,-0.5021396899481543,1.0072879105268402,1.0,0.0
24,-0.15209028171072797,0.5584853948839815,0.5584853948839815,0.0,0.0,0.0,0.5584853948839815,0.0,-0.3902844083438281,-0.5466102181574067,1.007317191082648,1.0,0.0
25,-0.15185611992536469,0.6099925831411824,0.6099925831411824,0.0,0.0,0.0,0.6099925831411824,0.0,-0.4415473420697429,-0.5974971080514928,1.007311488316808,1.0,0.0
26,-0.15124656171252152,0.5999582202145548,0.5999582202145548,0.0,0.0,0.0,0.5999582202145548,0.0,-0.431999120901638,-0.5872766260420803,1.007266426344641,1.0,0.0
27,-0.15020420932705222,0.555465749976955,0.555465749976955,0.0,0.0,0.0,0.555465749976955,0.0,-0.38909300402183394,-0.5434098418869266,1.007281107506597,1.0,0.0
28,-0.15007010254511333,0.5136547857548768,0.5136547857548768,0.0,0.0,0.0,0.5136547857548768,0.0,-0.3474323328436497,-0.501579015414207,1.0072505740482454,1.0,0.0
29,-0.14937170448608778,0.47587273750470316,0.47587273750470316,0.0,0.0,0.0,0.47587273750470316,0.0,-0.3096702567184014,-0.4631245342187503,1.0072365718197736,1.0,0.0
30,-0.1492734680967641,0.5231577487605991,0.5231577487605991,0.0,0.0,0.0,0.5231577487605991,0.0,-0.3553533202797067,-0.5088607043781005,1.0072373459915822,1.0,0.0
31,-0.14853803343828834,0.5406417488019704,0.5406417488019704,0.0,0.0,0.0,0.5406417488019704,0.0,-0.3763755287611958,-0.5292224803771353,1.0072041257624162,1.0,0.0
32,-0.14774806118076028,0.5692069155700279,0.5692069155700279,0.0,0.0,0.0,0.5692069155700279,0.0,-0.40563607518208156,-0.557655108835723,1.007175737339667,1.0,0.0
33,-0.14663921469815802,0.5686474377329731,0.5686474377329731,0.0,0.0,0.0,0.5686474377329731,0.0,-0.40833577656788944,-0.5594144320660119,1.007133836350286,1.0,0.0
