source,point_index,surface,x_physical_mean,y_physical_mean,y_physical_std,mean_d_score_d_x_normalized,mean_d_score_d_y_normalized,mean_sensitivity_normalized_l2,std_sensitivity_normalized_l2,mean_d_score_d_x_physical,mean_d_score_d_y_physical,norm_of_mean_physical_gradient_l2,mean_sensitivity_physical_l2,std_sensitivity_physical_l2,mean_critic_score,std_critic_score
real,62,lower,0.15546640753746033,-0.024083400145173073,0.012048189528286457,-0.07696168124675751,-0.005679830443114042,0.07745467126369476,0.016435902565717697,-0.07696168124675751,-0.019475817680358887,0.07938770949840546,0.08241094648838043,0.019220922142267227,-0.0722363144159317,0.032633960247039795
real,63,lower,0.17319659888744354,-0.024236198514699936,0.012799879536032677,-0.0732988640666008,-0.0017850613221526146,0.074068084359169,0.012600637972354889,-0.0732988640666008,-0.006120874546468258,0.07355398684740067,0.08149939030408859,0.00871169101446867,-0.0722363144159317,0.032633960247039795
real,64,lower,0.19134241342544556,-0.024349600076675415,0.013561684638261795,-0.07253406941890717,-0.005036549177020788,0.07321758568286896,0.01624004915356636,-0.07253406941890717,-0.0172700434923172,0.07456168532371521,0.079732246696949,0.01835172437131405,-0.0722363144159317,0.032633960247039795
real,65,lower,0.20988121628761292,-0.024307001382112503,0.014296804554760456,-0.07050817459821701,-0.004504132550209761,0.07111315429210663,0.012795175425708294,-0.07050817459821701,-0.015444417484104633,0.07217986136674881,0.07715827971696854,0.01398239005357027,-0.0722363144159317,0.032633960247039795
real,66,lower,0.2288012057542801,-0.02400900050997734,0.014769298024475574,-0.06808309257030487,-0.0001474287419114262,0.06845668703317642,0.010817382484674454,-0.06808309257030487,-0.0005055248620919883,0.0680849701166153,0.07226566225290298,0.009414900094270706,-0.0722363144159317,0.032633960247039795
real,67,lower,0.2480795830488205,-0.023646000772714615,0.01525187212973833,-0.06943836063146591,-0.0063413046300411224,0.07003236562013626,0.010899731889367104,-0.06943836063146591,-0.021743973717093468,0.07276321947574615,0.07568948715925217,0.015196378342807293,-0.0722363144159317,0.032633960247039795
real,68,lower,0.26770180463790894,-0.02324879914522171,0.01572762057185173,-0.06713034957647324,-0.006073822267353535,0.067612424492836,0.009374938905239105,-0.06713034957647324,-0.02082679606974125,0.0702868327498436,0.0723923072218895,0.012417720630764961,-0.0722363144159317,0.032633960247039795
real,69,lower,0.287653386592865,-0.0228061992675066,0.016202906146645546,-0.06162315607070923,-0.0038328536320477724,0.061934661120176315,0.010636492632329464,-0.06162315607070923,-0.013142639771103859,0.06300906836986542,0.0650252178311348,0.012302130460739136,-0.0722363144159317,0.032633960247039795
real,70,lower,0.3079212009906769,-0.022268200293183327,0.01664954237639904,-0.061269067227840424,-0.006694098003208637,0.06180723384022713,0.007677062880247831,-0.061269067227840424,-0.022953685373067856,0.06542759388685226,0.06699590384960175,0.012079150415956974,-0.0722363144159317,0.032633960247039795
real,71,lower,0.32849258184432983,-0.021496599540114403,0.01680709235370159,-0.06039551645517349,-0.004472370259463787,0.060702867805957794,0.008208158425986767,-0.06039551645517349,-0.015335505828261375,0.062312088906764984,0.06382045149803162,0.010229330509901047,-0.0722363144159317,0.032633960247039795
real,72,lower,0.3493589758872986,-0.020651400089263916,0.016926443204283714,-0.051374293863773346,-0.005618875380605459,0.05182277038693428,0.005870506167411804,-0.051374293863773346,-0.019266808405518532,0.05486827716231346,0.056178100407123566,0.007900437340140343,-0.0722363144159317,0.032633960247039795
real,73,lower,0.37050938606262207,-0.019750598818063736,0.017053216695785522,-0.056408416479825974,-0.005491063930094242,0.05677911639213562,0.004105384927242994,-0.056408416479825974,-0.01882855035364628,0.05946783721446991,0.06048308685421944,0.006952648516744375,-0.0722363144159317,0.032633960247039795
real,74,lower,0.3919371962547302,-0.018818799406290054,0.017155447974801064,-0.0506129264831543,-0.005891765467822552,0.051176272332668304,0.00509091280400753,-0.0506129264831543,-0.020202532410621643,0.05449597164988518,0.056689511984586716,0.007341068238019943,-0.0722363144159317,0.032633960247039795
real,75,lower,0.4136340022087097,-0.01785999909043312,0.01717531308531761,-0.04645393043756485,-0.0045503429137170315,0.0468488484621048,0.006052746437489986,-0.04645393043756485,-0.015602871775627136,0.04900425672531128,0.050776440650224686,0.007885458879172802,-0.0722363144159317,0.032633960247039795
real,76,lower,0.4355904161930084,-0.016828399151563644,0.017048712819814682,-0.048330653458833694,-0.008488242514431477,0.04923003166913986,0.0013700323179364204,-0.048330653458833694,-0.02910570427775383,0.056418027728796005,0.05773939564824104,0.006481023505330086,-0.0722363144159317,0.032633960247039795
real,77,lower,0.4578016400337219,-0.015795201063156128,0.01692609116435051,-0.04533994570374489,-0.007873100228607655,0.04624025896191597,0.004428807180374861,-0.04533994570374489,-0.026996415108442307,0.052768524736166,0.05459081009030342,0.008205307647585869,-0.0722363144159317,0.032633960247039795
real,78,lower,0.4802590012550354,-0.014708800241351128,0.016840992495417595,-0.03816064074635506,-0.003227607812732458,0.038423411548137665,0.0036262536887079477,-0.03816064074635506,-0.011067287065088749,0.039733100682497025,0.04105725884437561,0.004663134925067425,-0.0722363144159317,0.032633960247039795
