source,sample_index,dataset_index,point_index,surface,x_physical,y_physical,d_score_d_x_normalized,d_score_d_y_normalized,sensitivity_normalized_l2,d_score_d_x_physical,d_score_d_y_physical,sensitivity_physical_l2,critic_score
real,2,54670,51,lower,0.004726000130176544,-0.004298999905586243,-0.030295565724372864,0.0253139678388834,0.039479341357946396,-0.030295565724372864,0.08680016547441483,0.09193525463342667,-0.0910978615283966
real,2,54670,52,lower,0.011636000126600266,-0.010584999807178974,-0.06336458772420883,0.00293442839756608,0.06343249976634979,-0.06336458772420883,0.010061989538371563,0.06415851414203644,-0.0910978615283966
real,2,54670,53,lower,0.021913999691605568,-0.013907999731600285,-0.06406774371862411,0.0006654404569417238,0.06407120078802109,-0.06406774371862411,0.0022817577701061964,0.06410836428403854,-0.0910978615283966
real,2,54670,54,lower,0.033757999539375305,-0.016259999945759773,-0.0809878408908844,0.0035663857124745846,0.0810663253068924,-0.0809878408908844,0.012228935956954956,0.08190590143203735,-0.0910978615283966
real,2,54670,55,lower,0.04660100117325783,-0.018489999696612358,-0.08274197578430176,0.008446583524346352,0.08317198604345322,-0.08274197578430176,0.028962858021259308,0.08766459673643112,-0.0910978615283966
real,2,54670,56,lower,0.06037300080060959,-0.019759999588131905,-0.07254917919635773,0.015066158026456833,0.07409704476594925,-0.07254917919635773,0.05166100710630417,0.0890631377696991,-0.0910978615283966
real,2,54670,57,lower,0.07490099966526031,-0.020712999626994133,-0.08049123734235764,0.010145174339413643,0.0811280682682991,-0.08049123734235764,0.03478723019361496,0.08768688887357712,-0.0910978615283966
real,2,54670,58,lower,0.09006600081920624,-0.02170800045132637,-0.08080039173364639,0.009433668106794357,0.08134923130273819,-0.08080039173364639,0.03234751522541046,0.08703485131263733,-0.0910978615283966
real,2,54670,59,lower,0.10582499951124191,-0.022415999323129654,-0.07021155208349228,0.009348409250378609,0.07083117216825485,-0.07021155208349228,0.032055169343948364,0.07718287408351898,-0.0910978615283966
real,2,54670,60,lower,0.12213999778032303,-0.022572999820113182,-0.07810286432504654,0.007042731158435345,0.0784197524189949,-0.07810286432504654,0.024149127304553986,0.08175107091665268,-0.0910978615283966
real,2,54670,61,lower,0.13895300030708313,-0.02273399941623211,-0.077580526471138,-0.0009281386155635118,0.07758607715368271,-0.077580526471138,-0.00318253505975008,0.07764577865600586,-0.0910978615283966
real,2,54670,62,lower,0.15623100101947784,-0.022749999538064003,-0.06694637984037399,-0.003259417600929737,0.06702567636966705,-0.06694637984037399,-0.01117635890841484,0.06787288188934326,-0.0910978615283966
real,2,54670,63,lower,0.17394599318504333,-0.022494999691843987,-0.07334744930267334,0.005061225965619087,0.07352185994386673,-0.07334744930267334,0.017354657873511314,0.0753726214170456,-0.0910978615283966
real,2,54670,64,lower,0.1920749992132187,-0.022234000265598297,-0.06799747794866562,-0.003402267349883914,0.0680825412273407,-0.06799747794866562,-0.011666183359920979,0.06899099051952362,-0.0910978615283966
real,2,54670,65,lower,0.21058499813079834,-0.02158699929714203,-0.06597531586885452,0.0013196885120123625,0.06598851084709167,-0.06597531586885452,0.004525137599557638,0.06613031774759293,-0.0910978615283966
real,2,54670,66,lower,0.2294590026140213,-0.020634999498724937,-0.0676252543926239,0.0056775230914354324,0.06786316633224487,-0.0676252543926239,0.019467907026410103,0.07037168741226196,-0.0910978615283966
real,2,54670,67,lower,0.24869099259376526,-0.019665999338030815,-0.06641380488872528,-0.003104962408542633,0.06648634374141693,-0.06641380488872528,-0.010646740905940533,0.06726177781820297,-0.0910978615283966
real,2,54670,68,lower,0.2682659924030304,-0.018679000437259674,-0.06654901057481766,-0.003550408175215125,0.06664365530014038,-0.06654901057481766,-0.012174149975180626,0.06765338778495789,-0.0910978615283966
real,2,54670,69,lower,0.2881689965724945,-0.01767599955201149,-0.06071415916085243,-0.0016838223673403263,0.06073750555515289,-0.06071415916085243,-0.0057737319730222225,0.06098807603120804,-0.0910978615283966
real,2,54670,70,lower,0.3083859980106354,-0.016589999198913574,-0.05675053223967552,-0.006222932133823633,0.057090695947408676,-0.05675053223967552,-0.0213380828499794,0.060629501938819885,-0.0910978615283966
real,2,54670,71,lower,0.3289029896259308,-0.01539199985563755,-0.06150107830762863,7.543200626969337e-05,0.06150112301111221,-0.06150107830762863,0.000258652085904032,0.06150162220001221,-0.0910978615283966
real,2,54670,72,lower,0.3497160077095032,-0.014177000150084496,-0.05379767715930939,-0.0013291402719914913,0.05381409451365471,-0.05379767715930939,-0.0045575471594929695,0.053990382701158524,-0.0910978615283966
real,2,54670,73,lower,0.3708139955997467,-0.012943999841809273,-0.058287110179662704,-0.0028637920040637255,0.058357421308755875,-0.058287110179662704,-0.00981978140771389,0.05910850688815117,-0.0910978615283966
real,2,54670,74,lower,0.39218899607658386,-0.011695999652147293,-0.05660655349493027,-0.002766919555142522,0.05667413771152496,-0.05660655349493027,-0.00948761124163866,0.05739613622426987,-0.0910978615283966
real,2,54670,75,lower,0.41383999586105347,-0.010541999712586403,-0.04974561929702759,0.0008074822835624218,0.04975217208266258,-0.04974561929702759,0.0027688113041222095,0.0498226135969162,-0.0910978615283966
real,2,54670,76,lower,0.43575501441955566,-0.009437999688088894,-0.04835106059908867,-0.006876467261463404,0.04883759468793869,-0.04835106059908867,-0.02357901819050312,0.0537940077483654,-0.0910978615283966
real,2,54670,77,lower,0.4579240083694458,-0.008321000263094902,-0.052538756281137466,-0.002819183748215437,0.05261433869600296,-0.052538756281137466,-0.009666821919381618,0.05342067405581474,-0.0910978615283966
real,2,54670,78,lower,0.48034200072288513,-0.007191000040620565,-0.04370545595884323,0.0003118664026260376,0.04370656982064247,-0.04370545595884323,0.0010693722870200872,0.04371853545308113,-0.0910978615283966
real,2,54670,79,lower,0.5029979944229126,-0.006010000128298998,-0.04692933335900307,-0.0015495368279516697,0.04695490747690201,-0.04692933335900307,-0.005313274450600147,0.04722915589809418,-0.0910978615283966
real,2,54670,80,lower,0.525875985622406,-0.00455900002270937,-0.04717555642127991,-0.000396406976506114,0.04717722162604332,-0.04717555642127991,-0.001359257148578763,0.047195132821798325,-0.0910978615283966
real,2,54670,81,lower,0.5489829778671265,-0.003094000043347478,-0.03924508020281792,-0.0006474123802036047,0.03925041854381561,-0.03924508020281792,-0.002219940535724163,0.039307817816734314,-0.0910978615283966
real,2,54670,82,lower,0.5723159909248352,-0.001614999957382679,-0.036678679287433624,-0.0034489596728235483,0.03684047609567642,-0.036678679287433624,-0.0118262879550457,0.038538120687007904,-0.0910978615283966
real,2,54670,83,lower,0.5958679914474487,-0.00012199999764561653,-0.037765249609947205,-0.00014395499601960182,0.03776552528142929,-0.037765249609947205,-0.0004936135956086218,0.03776847571134567,-0.0910978615283966
